Для информации;ID;Название;;Теги (Безопасность);Ссылка;Предоплата;Цена Взр;Цена Дет;Описание (Витрина);Честный обзор;Важная информация;Ключевые слова;Дни выезда;Гид;Питание;Что взять с собой
Море (Острова);11;Корал + Рача, Катамаран;;#нельзя_беременным #дети_от_1_года #комфорт #горка #рыбалка #нет_качки #семейный;https://goldenkeytours.com/excursions/sea-excursions/coral-island-racha-by-catamaran;50%;1900;1700;Семейный бестселлер! Устойчивый катамаран с водной горкой — дети будут в восторге.;Идеально для семей с детьми. Лодку не качает, можно прыгать с горки прямо в открытое море, а на островах отдыхать без спешки.;Трансфер включен (возможна доплата в зависимости от района). Беременным запрещено. Детям до 1 года запрещено. Не укачивает. Есть горка.;катамаран, корал, рача, беременным нельзя, нельзя детям до 1 года, море, волны;Ежедневно;Нет;Обед (швед. стол);Коралловые тапочки, Пляжные вещи, деньги на активности
Море (Острова);12;Корал + Рача, VIP Катамаран;;#нельзя_беременным #дети_от_1_года #vip #мало_людей #сервис #комфорт #лаунж;https://goldenkeytours.com/excursions/sea-excursions/coral-island-racha-by-vip-catamaran;50%;2600;2300;Лакшери отдых без толкучки. Просторный катамаран с мягкими диванами и ограниченным количеством гостей.;Вы платите за личное пространство и комфорт. Отличный обед, внимательный персонал и атмосфера морского круиза.;Эксклюзивный катамаран с индивидуальными местами и зонами отдыха. Снаряжение для снорклинга. Трансфер включен (возможна доплата в зависимости от района). Беременным запрещено. Детям до 1 года запрещено. Мало людей, удобные диваны.;vip, вип, катамаран, беременным нельзя, нельзя детям до 1 года, море;Ежедневно;Англ.;Обед-буфет, Вода;Пляжные вещи
Море (Острова);13;Рача + Корал,  (2 дня);;#нельзя_беременным #дети_от_1_года #сервис #семья #снорклинг;https://goldenkeytours.com/excursions/sea-excursions/racha-islandscoral;50%;2100 / 3100;1800 / 2600;Полный релакс с ночевкой в бунгало на райском острове.;Представьте: туристы уезжают, и остров с белоснежным песком принадлежит только вам. Закаты, тишина и шум волн.;Стоимость зависит от размещения в бунгало - вентилятор/кондиционер. Трансфер включен (возможна доплата в зависимости от района). Беременным запрещено. Детям до 1 года запрещено. Улучшенная программа.;рача, корал, беременным нельзя, нельзя детям до 1 года, спидбот, море;Ежедневно;Русский;Завтрак, Обед;Пляжные вещи
Море (Острова);14;Коралловый остров, Спидбот;;#нельзя_беременным #дети_от_1_года #бюджетно #близко #пляж #семья #полдня #быстро #коралловый_остров;https://goldenkeytours.com/excursions/sea-excursions/coral-island;50%;1100;800;Экспресс-доставка к морю! Всего 15 минут на катере — и вы уже на пляже с шезлонгами.;Самый быстрый и дешевый вариант. Если вас укачивает, но хочется на остров, или просто жалко тратить часы на дорогу — это для вас.;Трансфер включен (возможна доплата в зависимости от района). Беременным запрещено. Детям до 1 года запрещено. Близко и недорого.;корал, остров, coral island, беременным нельзя, нельзя детям до 1 года, спидбот, трясет, коралловый остров.;Ежедневно;Русский, вт.;Обед (шведский стол);Пляжные вещи, деньги (лежаки часто платные)
Море (Острова);15;Остров Корал + Закат, Катамаран;;#нельзя_беременным #дети_от_1_года #романтика #закат #ужин #пары #спокойно #красиво;https://goldenkeytours.com/excursions/sea-excursions/coral-island-and-sunset-on-a-catamaran;50%;1500;1300;Самый романтичный вечер! Пляжный отдых днем и ужин с видом на заходящее в океан солнце.;Легкая прогулка без гонок. Отличный вариант для свидания или спокойного вечера с семьей.;Трансфер включен (возможна доплата в зависимости от района). Беременным запрещено. Детям до 1 года запрещено. Встреча заката в море.;корал, закат, катамаран, беременным нельзя, нельзя детям до 1 года, море;Ежедневно;Нет;Ужин на борту;Красивая одежда, камера, коралловые тапочки
Море (Острова);16;Банана Бич (Коралловый остров);;#нельзя_беременным #дети_от_1_года #пляж #релакс #семья #близко #инстаграм #прозрачная_вода #кораллов #coral #корал;https://goldenkeytours.com/excursions/sea-excursions/banana-beach;50%;1900;1600;"Самый ""Инстаграмный"" пляж Пхукета! Стильная фотозона, качели, белые шатры и птицы-носороги.";Это приватная зона: здесь чище, эстетичнее и вкуснее, чем на общественном пляже. За красивые фото и комфорт стоит доплатить.;Трансфер включен (возможна доплата в зависимости от района). Беременным запрещено. Детям до 1 года запрещено. Пляжный отдых.;корал, банана, banana beach, беременным нельзя, нельзя детям до 1 года, спидбот, пляж.;Ежедневно;Нет;Обед, фрукты, напитки;Пляжные вещи, Крем SPF 50+
Море (Острова);17;Рассвет на Пхи-Пхи (стандарт) ;;#нельзя_беременным #дети_от_1_года #ранний_выезд #без_толп #бамбу #снорклинг;https://goldenkeytours.com/sunrise-journey-phi-phi-islands;50%;2500;2200;Успейте увидеть пляж Майя Бэй до нашествия туристов! Самая популярная экскурсия с выездом на рассвете.;"Это ""золотой стандарт"" экскурсий. Вы увидите всё самое важное: обезьян, лагуну Пиле, пещеру Викингов и остров Бамбу, но в более комфортном ритме.";Трансфер включен (возможна доплата в зависимости от района). Беременным запрещено. Детям до 1 года запрещено. Ранний выезд.;пхи пхи, пи пи, бамбу, bamboo, ранний выезд, беременным нельзя, нельзя детям до 1 года, хит, популярное, лучшее, топ.;Ежедневно;Русский;Легкий завтрак, Обед;Коралловые тапочки, Пляжные вещи, Крем SPF 50+
Море (Острова);18;Рассвет на Пхи-Пхи (комфорт+) ;ХИТ;#нельзя_беременным #дети_от_1_года #ранний_выезд #рассвет #без_толп #майя_бей #эксклюзив #хит;https://goldenkeytours.com/sunrise-journey-phi-phi-islands;50%;2700;2400;VIP-утро в раю. Улучшенная лодка, меньше людей, расширенное меню и сервис высокого класса.;Те же потрясающие пустые пляжи, но с повышенным уровнем комфорта. Включены вино, мороженое и Wi-Fi на борту.;Королевский пирс Royal Phuket Marina. Маленькие группы 25-38 человек. Бесплатные одноразовые загубники. Мороженое и вино по возвращению на пирс. Бесплатный Wi-Fi на лодке. Бесплатные полотенца. Трансфер включен. Беременным запрещено. Детям до 1 года запрещено. Ранний выезд.;рассвет, пхи пхи, пи пи, спидбот, sunrise, беременным нельзя, нельзя детям до 1 года, скорость, трясет, хит, популярное, лучшее, топ.;Ежедневно;Русский;Легкий завтрак, Обед, вода, фрукты;Коралловые тапочки, Пляжные вещи, Крем SPF 50+
Море (Острова);19;Рассвет на Пхи-Пхи (Катамаран) ;;#нельзя_беременным #дети_от_1_года #ранний_выезд #комфорт #рассвет #инстаграм #романтика #без_толп;https://goldenkeytours.com/sunrise-phi-phi;50%;2800;2500 (3-11 лет);Романтика на максимум. Встречайте рассвет в открытом море с чашкой кофе на борту комфортабельного катамарана.;Самый мягкий и красивый вариант раннего Пхи-Пхи. Не трясет, можно гулять по палубе и наслаждаться видами на 360 градусов.;Трансфер включен (возможна доплата в зависимости от района). Свободный выход на вторую палубу с обзором в 360'. Бесплатный Wi-Fi на катамаране. Горячие кофе и чай на борту. Беременным запрещено. Детям до 1 года запрещено. Ранний выезд.;рассвет, пхи пхи, катамаран, sunrise, беременным нельзя, нельзя детям до 1 года, открытое море;Пн, Ср, Пт;Русский;Обед, фрукты, напитки;Коралловые тапочки, Пляжные вещи, Крем SPF 50+, Камеру
Море (Острова);20;"Пхи-Пхи ""5 Пляжей"" (ХИТ)";ХИТ;#нельзя_беременным #дети_от_1_года #классика #бюджетно #снорклинг #майя_бей #обезьяны #хит;https://goldenkeytours.com/excursions/sea-excursions/phi-phi-5-islandss;50%;2000;1800;Визитная карточка Пхукета! Та самая бухта Майя Бэй из фильма «Пляж», изумрудная лагуна Пиле и пляж с обезьянами.;Самый популярный тур, и не зря. Виды здесь — просто космос (скалы растут прямо из воды), но будьте готовы: туристов будет много. Must see для новичков.;Трансфер включен (возможна доплата в зависимости от района). Беременным запрещено. Детям до 1 года запрещено. Классическая программа.;пхи пхи, пи пи, 5 островов, майя бэй, беременным нельзя, нельзя детям до 1 года, спидбот, speed boat, тряска, хит, популярное, лучшее, топ.;Ежедневно;Русский;Обед на острове;Коралловые тапочки, Пляжные вещи, Крем SPF 50+
Море (Острова);21;Пхи-Пхи + Бамбу (Спидбот, рыбалка);ХИТ;#нельзя_беременным #дети_от_1_года #бюджетно #бамбу #классика #снорклинг #майя_бэй;https://goldenkeytours.com/excursions/sea-excursions/phi-phi-and-fishing;50%;2400;2100;Базовая программа по отличной цене. Все главные локации Пхи-Пхи и релакс на острове Бамбу.;"Отличный выбор, если не хотите переплачивать за ""плюшки"". Море везде одинаковое, виды те же. Просто лодка попроще и людей чуть больше.";Трансфер включен (возможна доплата в зависимости от района). Беременным запрещено. Детям до 1 года запрещено. Обед на Пхи-Пхи Дон.;пхи пхи, пи пи, бамбу, bamboo, стандарт, беременным нельзя, нельзя детям до 1 года, дешево;Вт, Чт, Сб;Русский;Обед, Сашими;Таблетки от укачивания, Пляжные вещи
Море (Острова);22;Пхи-Пхи + Бамбу + Ранг Яй (Комфорт+, Рыбалка) (ХИТ);ХИТ;#нельзя_беременным #дети_от_1_года #рыбалка #мужская_компания #свежая_рыба #снорклинг #активно #хит;https://goldenkeytours.com/excursions/sea-excursions/phi-phi-and-fishing;50%;2700;2400;Супер-комбо: 3 острова и рыбалка в одной поездке с повышенным комфортом.;Очень насыщенная программа, которая заканчивается релаксом на жемчужном острове Ранг Яй.;Комфортная посадка, индивидуальные места. Королевский пирс Royal Phuket Marina. Маленькие группы до 24-36 человек. Бесплатные одноразовые загубники. Полноценный завтрак на пирсе. Бесплатный Wi-Fi на лодке. Бесплатные полотенца. Трансфер включен. Беременным запрещено. Детям до 1 года запрещено.;пхи пхи, пи пи, рыбалка, троллинг, сашими, беременным нельзя, нельзя детям до 1 года, лодка, море, волны, хит, популярное, лучшее, топ.;Вт, Чт, Сб;Русский;Обед, Сашими;Таблетки от укачивания, Пляжные вещи
Море (Острова);23;Пхи-Пхи на Катамаране (Стандарт);;#нельзя_беременным #дети_от_1_года #комфорт #спокойно #семейный #нет_качки #безопасно;https://goldenkeytours.com/excursions/sea-excursions/phi-phi-catamaran;50%;2800;2600;Спокойный семейный круиз к легендарным скалам. Без спешки и тряски.;Идет медленнее спидбота, но намного мягче. Идеально для пожилых людей и детей, которых обычно укачивает.;Трансфер включен (возможна доплата в зависимости от района). Беременным запрещено. Детям до 1 года запрещено. Стабильная лодка.;пхи пхи, катамаран, беременным нельзя, нельзя детям до 1 года, открытое море, укачивание;Ежедневно;Русский, по запросу;Обед, фрукты, напитки;Пляжные вещи
Море (Острова);24;Пхи-Пхи на Катамаране (Премиум);ХИТ;#нельзя_беременным #дети_от_1_года #vip #премиум #яхта #сервис #комфорт #лакшери #катамаран;https://goldenkeytours.com/excursions/sea-excursions/phi-phi-premium;50%;3000;2800;VIP-круиз для тех, кто ценит сервис. Роскошная лодка, вкусный обед и атмосфера праздника.;Это не просто трансфер к островам, а полноценный отдых на борту. Шикарные фото в соцсети обеспечены.;Комфортная посадка в катамаране, индивидуальные места. Люксовый порт. Бесплатный трансфер из Као Лака (Вторник/Среда/Четверг/Суббота). Беременным запрещено. Детям до 1 года запрещено. Высокий сервис.;пхи пхи, премиум, яхта, беременным нельзя, нельзя детям до 1 года, открытое море, волны, безопасность, катамаран;Ежедневно;Русский, Ср, Чт, Сб, Вс;Обед, фрукты, напитки;Красивая одежда, Камера, Пляжные вещи
Море (Острова);25;"Пхи-Пхи + Кхай ""Поздний выезд"" (Закат)";;#нельзя_беременным #дети_от_1_года #можно_поспать #закат #романтика #вечер #без_спешки;https://goldenkeytours.com/excursions/sea-excursions/phi-phi-late-departure;50%;2200;1900;Экскурсия для сов! Выспитесь, позавтракайте и отправляйтесь к островам без спешки, чтобы проводить закат в море.;Главный плюс — комфортное время старта. А закат в открытом море с лихвой перекрывает дневную жару.;Трансфер включен (возможна доплата в зависимости от района). Беременным запрещено. Детям до 1 года запрещено. Отправление с пирса в 10-11 утра.;поздний выезд, пхи пхи, закат, беременным нельзя, нельзя детям до 1 года, море, возвращение в темноте;Ежедневно;Нет;Обед, Ужин;Пляжные вещи
Море (Острова);26;"Пхи-Пхи + Кхай/Бамбу ""Закат"" (Катамаран)";;#нельзя_беременным #дети_от_1_года #можно_поспать #закат #романтика #вечер #без_спешки;https://goldenkeytours.com/excursions/sea-excursions/phi-phi-late-departure;50%;2800;2600;Романтика на закате с комфортом катамарана. Плавное скольжение по волнам и вечерние краски неба.;Выезд без спешки (можно выспаться), плавный ход и невероятно красивый вечер на воде.;Трансфер включен. Беременным запрещено. Детям до 1 года запрещено. Выезд в 10-11 утра.;поздний выезд, пхи пхи, закат, беременным нельзя, нельзя детям до 1 года, море, возвращение в темноте;Пн, пт;Русский;Обед, фрукты, напитки;Пляжные вещи
Море (Острова);27;Пхи-Пхи + Бамбу, 2 дня (Стандарт);;#нельзя_беременным #дети_от_1_года #комфорт #баунти #белый_песок #релакс #семейный #нет_качки;https://goldenkeytours.com/excursions/sea-excursions/phi-phi-and-bamboo;50%;4500;4200;Полное погружение в жизнь острова! Днем — пляжи, ночью — огненное шоу и танцы на песке.;Одного дня на Пхи-Пхи мало. Ночевка дает вам шанс увидеть остров вечером (когда он оживает) и рано утром (пока он спит и нет толп).;Трансфер включен (возможна доплата в зависимости от района). Беременным запрещено. Детям до 1 года запрещено. Остров Бамбу включен.;пхи пхи, бамбу, катамаран, bamboo, беременным нельзя, нельзя детям до 1 года, море;Вт, Чт, Сб;Русский;Обед, фрукты, напитки;Пляжные вещи
Море (Острова);28;Пхи-Пхи + Бамбу, 2 дня (Комфорт+, спидбот);;#нельзя_беременным #дети_от_1_года #комфорт #баунти #белый_песок #релакс #семейный #нет_качки;https://goldenkeytours.com/excursions/sea-excursions/phi-phi-and-bamboo;50%;5000;4700;Релакс-тур на 2 дня. Сочетание бурной ночной жизни и комфортной дороги на катамаране.;Вы не устанете в пути благодаря катамарану, а улучшенный отель позволит хорошо выспаться после вечеринки.;Королевский пирс Royal Phuket Marina. Маленькие группы до 36 человек. Бесплатные одноразовые загубники. Полноценный завтрак на пирсе. Улучшенная категория номера в отеле. Бесплатный Wi-Fi на лодке. Бесплатные полотенца. Трансфер включен. Беременным запрещено. Детям до 1 года запрещено. Остров Бамбу включен.;пхи пхи, бамбу, катамаран, bamboo, беременным нельзя, нельзя детям до 1 года, море;Вт, Чт, Сб;Русский;Обед, фрукты, напитки;Пляжные вещи
Море (Острова);29;Пхи-Пхи + Краби + Джеймс Бонд, 2 дня (комфорт+);;#нельзя_беременным #дети_от_1_года #насыщенно #все_сразу #активно #инстаграм #весь_день #устанем_но_довольны #вечеринки_на_пляже #2_дня;https://goldenkeytours.com/excursions/sea-excursions/phiphijamesbondkrabi#!/tab/767808483-2;50%;6100;5800;Грандиозный марафон! Три провинции и все топовые острова за одну поездку.;Идеально, если у вас мало времени, а хочется увидеть ВСЁ. Очень насыщенно, много переездов и впечатлений, но готовьтесь устать (приятно устать!).;Королевский пирс Royal Phuket Marina. Маленькие группы до 25-36 человек. Бесплатные одноразовые загубники. Полноценный завтрак на пирсе. Улучшенная категория номера в отеле. Бесплатный Wi-Fi на лодке. Бесплатные полотенца. Трансфер включен. Беременным запрещено. Детям до 1 года запрещено. Насыщенная программа.;пхи пхи, пи пи, краби, бонд, катамаран, беременным нельзя, нельзя детям до 1 года, тяжелая экскурсия, много переездов, Вечеринки на пляже, 2 дня.;Сб;Русский;Завтрак, обед, ужин;Коралловые тапочки, Пляжные вещи, удобная обувь
Море (Острова);30;Пхи-Пхи + Краби + Джеймс Бонд, 2 дня (премиум);;#нельзя_беременным #дети_от_1_года #насыщенно #все_сразу #активно #инстаграм #весь_день #устанем_но_довольны #вечеринки_на_пляже #2_дня;https://goldenkeytours.com/excursions/sea-excursions/phiphijamesbondkrabi#!/tab/767808483-3;50%;6900;6600;Грандиозный марафон в формате VIP! Три провинции и все топовые острова за одну поездку. Лучшие катера, улучшенный отель 4*.;Вы увидите всё самое главное: Бонда, Майя Бэй, Краби, но при этом путешествие будет по-настоящему премиальное.;Королевский пирс Royal Phuket Marina. Маленькие группы до 25-36 человек. Бесплатные одноразовые загубники. Полноценный завтрак на пирсе. Улучшенная категория отеля! Бесплатный Wi-Fi на лодке. Бесплатные полотенца. Трансфер включен. Беременным запрещено. Детям до 1 года запрещено. Насыщенная программа.;пхи пхи, пи пи, краби, бонд, катамаран, беременным нельзя, нельзя детям до 1 года, тяжелая экскурсия, много переездов, Вечеринки на пляже, 2 дня.;Ср, Пт;Русский;Завтрак, обед, ужин;Коралловые тапочки, Пляжные вещи, удобная обувь
Море (Острова);31;Пхи-Пхи + Краби + Джеймс Бонд, 2 дня (Стандарт) (ХИТ);ХИТ;#нельзя_беременным #дети_от_1_года #насыщенно #все_сразу #активно #инстаграм #весь_день #устанем_но_довольны #вечеринки_на_пляже #2_дня #хит;https://goldenkeytours.com/excursions/sea-excursions/phiphijamesbondkrabi;50%;5500;5200;"Бюджетная версия ""Главного марафона"". Те же легендарные локации по более доступной цене.";Вы увидите всё самое главное: Бонда, Майя Бэй, Краби. Чуть проще отель и лодка, но эмоций столько же.;Трансфер включен (возможна доплата в зависимости от района). Беременным запрещено. Детям до 1 года запрещено. Насыщенная программа.;пхи пхи, пи пи, краби, бонд, спидбот, беременным нельзя, нельзя детям до 1 года, тяжелая экскурсия, много переездов, Вечеринки на пляже, 2 дня, хит, популярное, лучшее, топ.;Ежедневно;Русский;Завтрак, обед, ужин;Коралловые тапочки, Пляжные вещи, удобная обувь
Море (Острова);32;11 Островов, Стандарт;;#нельзя_беременным #дети_от_1_года #ночевка #тусовка #активно #молодежь #огненное_шоу #бар;https://goldenkeytours.com/excursions/sea-excursions/11-islands;50%;4500;4100;Максимальный охват! Большое морское путешествие по 11 островам по доступной цене.;"Для тех, кто хочет поставить галочку ""Я видел всё"". Активно, много движения, ночевка на тусовочном Пхи-Пхи.";Трансфер включен (возможна доплата в зависимости от района). Беременным запрещено. Детям до 1 года запрещено. Ночевка на Пхи-Пхи.;11 островов, два дня, тусовка, пхи пхи, беременным нельзя, нельзя детям до 1 года, спидбот, нагрузка;Пн, Пт;Русский;Обед, фрукты, напитки;Деньги на бар, сменная одежда, коралловые тапочки
Море (Острова);33;11 Островов, Комфорт+;;#нельзя_беременным #дети_от_1_года #ночевка #тусовка #активно #молодежь #огненное_шоу #бар;https://goldenkeytours.com/excursions/sea-excursions/11-islands;50%;4900;4500;Максимальный драйв с комфортом! То же большое путешествие, но в малой группе и с лучшим сервисом.;Меньше людей в лодке — больше кислорода и внимания гида. Оптимальный выбор для насыщенного тура.;Королевский пирс Royal Phuket Marina. Маленькие группы до 32 человек. Бесплатные одноразовые загубники. Мороженое и вино по возвращению на пирс. Бесплатный Wi-Fi на лодке. Бесплатные полотенца. Трансфер включен. Беременным запрещено. Детям до 1 года запрещено. Ночевка на Пхи-Пхи.;11 островов, два дня, тусовка, пхи пхи, беременным нельзя, нельзя детям до 1 года, спидбот, нагрузка;Пн, Пт;Русский;Обед, фрукты, напитки;Деньги на бар, сменная одежда, коралловые тапочки
